"PRODUCTOS ","CATEGORÍA ","ESTADO ","FECHA ",Ganancia por unidad,"PROVEEDOR ",Precio de Compra,Precio de Venta,Stock Actual,Stock Mínimo
"EL ROEL PROTECTOR SOLAR CUSHION ",SKINCARE,✅ Disponible1,,"-24,18",,"24,18 US$",,1,
"PARNELL PARCHES ",SKINCARE,✅ Disponible1,,-15,,"15,00 US$",,1,
ABIB PDRN EYE PATCH,SKINCARE,✅ Disponible2,,"-19,74",,"19,74 US$",,2,
HARUHARU GLOW TRIAL KIT 3UD,SKINCARE,✅ Disponible1,,-20,,"20,00 US$",,1,
"PROTECTOR SOLAR REANHU ",SKINCARE,✅ Disponible1,,-15,,"15,00 US$",,1,
"TINTA LAKA ",MAQUILLAJE,✅ Disponible2,,-15,,"15,00 US$",,2,
"BASE TARTE ",MAQUILLAJE,✅ Disponible1,,"-14,4",,"14,40 US$",,1,
ARENACIA CLEANSING OIL 200ML,SKINCARE,✅ Disponible1,,-18,,"18,00 US$",,1,
GARNIER SERUM ANTI-FRIZZ,CABELLO,✅ Disponible1,,"-6,97",,"6,97 US$",,1,
PRIMER MCOBEAUTY,MAQUILLAJE,✅ Disponible1,,"-6,5",,"6,50 US$",,1,
ESTRACTOR SPECTRA,,✅ Disponible1,,-180,,"180,00 US$",,1,
THE LAB DEEP TONES 200ML,SKINCARE,✅ Disponible1,,-22,,"22,00 US$",,1,
TORRIDEN FIRMING CREAM 60 ML,SKINCARE,✅ Disponible1,,-28,,"28,00 US$",,1,
ACIETE MISSE EN SCENE,CABELLO,✅ Disponible1,,-18,,"18,00 US$",,1,
"DERMACOMPLETE ",SKINCARE,✅ Disponible2,,-15,,"15,00 US$",,2,
BY JUCCY WRAPPING MASK 70ML,SKINCARE,✅ Disponible1,,-22,,"22,00 US$",,1,
MADECA CREAM 50ML,SKINCARE,✅ Disponible1,,-32,,"32,00 US$",,1,
ODELOI CREAM,SKINCARE,✅ Disponible1,,"-19,99",,"19,99 US$",,1,
"REMOVEDOR TINTA LAKA ",MAQUILLAJE,✅ Disponible1,,-15,,"15,00 US$",,1,
,,✅ Disponible,,0,,,,,
"MIXSOON 16ML ",SKINCARE,✅ Disponible1,,"-16,5",,"16,50 US$",,1,
"MASCARILLA MISE EN SCENE ",CABELLO,✅ Disponible3,,-20,,"20,00 US$",,3,
"NEUTROGENA LIP OIL ",MAQUILLAJE,✅ Disponible4,,"-8,97",,"8,97 US$",,4,
MEDICUBE PAD KOJIC ACID 160ML,SKINCARE,✅ Disponible1,,"-18,9",,"18,90 US$",,1,
"ELF BRONZING DROPS 30ML ",MAQUILLAJE,✅ Disponible1,,"-12,99",,"12,99 US$",,1,
FIJADOR DE MAQUILLJE URBAN DECAY,MAQUILLAJE,✅ Disponible1,,-18,,"18,00 US$",,1,
"PESTAÑINA ESPOIR ",MAQUILLAJE,✅ Disponible1,,-17,,"17,00 US$",,1,
MADAGASCAR CENTELLA TECA CREAM 75ML,SKINCARE,✅ Disponible1,,-25,,"25,00 US$",,1,
"ARENCIA LIAMPIADOR MOCHI ",SKINCARE,✅ Disponible1,,-16,,"16,00 US$",,1,
DALBA CAPSULE CREAM 55G,SKINCARE,✅ Disponible1,,"-22,4",,"22,40 US$",,1,
"SHAMPOO KIT CERAVE ",CABELLO,✅ Disponible1,,-18,,"18,00 US$",,1,
MASCARILLAS MEDICUBE AMARILLA *4,SKINCARE,✅ Disponible4,,"-9,99",,"9,99 US$",,4,
"PESTAÑINA URBAN DECAY ",MAQUILLAJE,✅ Disponible1,,-12,,"12,00 US$",,1,
BYUR SERUM 30G,SKINCARE,✅ Disponible1,,"-24,99",,"24,99 US$",,1,
CERAVE MOISTURIZING CREAM 340G,SKINCARE,✅ Disponible1,,-20,,"20,00 US$",,1,
ARENCIA VITAMINC BOOSTER SHOT 30ML,SKINCARE,✅ Disponible1,,-24,,"24,00 US$",,1,
SHAMPOO HERBAL,CABELLO,✅ Disponible1,,-12,,"12,00 US$",,1,
BY JUCCY AMPOULE VINOBERRY 30ML,SKINCARE,✅ Disponible1,,"-22,99",,"22,99 US$",,1,
MASCARILLA ROSADA MEDICUBE,SKINCARE,✅ Disponible3,,"-9,99",,"9,99 US$",,3,
MIXSOON 100ML,SKINCARE,✅ Disponible1,,"-18,36",,"18,36 US$",,1,
MASCARILLA NATURAL SAM,CABELLO,✅ Disponible2,,"-22,49",,"22,49 US$",,2,
"CAVIAR MIST ",SKINCARE,✅ Disponible1,,-30,,"30,00 US$",,1,
"ABIB COLLAGEN EYE PATCH ",SKINCARE,✅ Disponible2,,"-19,74",,"19,74 US$",,2,
"CURE INTENSIVE CREAM ",,✅ Disponible1,,"-24,99",,"24,99 US$",,1,
APRILSKIN SERUM TONING SHOT 99% 30ML,SKINCARE,✅ Disponible1,,"-18,9",,"18,90 US$",,1,
THE CREME BODY LOTION 340ML,SKINCARE,✅ Disponible1,,-20,,"20,00 US$",,1,
"VT COSMETICS AMPOULE HAIR ",CABELLO,✅ Disponible2,,-16,,"16,00 US$",,2,
"MEDICUBE JELLY CREAM 50ML ",SKINCARE,✅ Disponible1,,-15,,"15,00 US$",,1,
,,✅ Disponible,,0,,,,,
,,✅ Disponible,,0,,,,,
